plant_id,plant_name,datetime,installed_capacity_mw,actual_generation_mw,water_flow_m3s,turbine_efficiency,outage_flag
H02,River_Gate,2024-11-02 21:45:00,125.0,84.072,133.042,0.898,0
H03,Canyon_Run,2024-03-01 10:00:00,95.0,95.0,156.709,0.918,0
H02,River_Gate,2024-12-04 17:30:00,125.0,97.233,162.579,0.881,0
H01,Andean_Falls,2024-11-13 09:15:00,180.0,116.048,161.126,0.917,0
H03,Canyon_Run,2024-11-08 09:45:00,95.0,71.489,104.131,0.924,0
H01,Andean_Falls,2024-12-22 03:30:00,180.0,136.107,181.438,0.946,0
H03,Canyon_Run,2024-05-23 00:30:00,95.0,75.872,115.209,0.886,0
H03,Canyon_Run,2024-08-20 14:45:00,95.0,46.522,73.402,0.868,0
H01,Andean_Falls,2024-12-17 05:00:00,180.0,137.637,185.973,0.932,0
H03,Canyon_Run,2024-08-29 04:45:00,95.0,54.254,79.764,0.898,0
H01,Andean_Falls,2024-04-30 12:00:00,180.0,180.0,271.661,0.897,0
H02,River_Gate,2024-07-13 02:15:00,125.0,87.181,143.206,0.927,0
H03,Canyon_Run,2024-03-29 18:30:00,95.0,95.0,149.511,0.857,0
H01,Andean_Falls,2024-03-29 17:15:00,180.0,180.0,288.518,0.874,0
H02,River_Gate,2024-03-05 04:00:00,125.0,125.0,220.214,0.908,0
H02,River_Gate,2024-10-17 22:15:00,125.0,69.85,117.368,0.886,0
H02,River_Gate,2024-09-01 00:30:00,125.0,62.717,103.784,0.884,0
H02,River_Gate,2024-11-23 03:15:00,125.0,94.502,154.256,0.924,0
H02,River_Gate,2024-05-05 03:15:00,125.0,118.544,196.039,0.917,0
H03,Canyon_Run,2024-06-03 05:45:00,95.0,78.584,114.77,0.916,0
H02,River_Gate,2024-03-03 07:30:00,125.0,125.0,220.678,0.929,0
H02,River_Gate,2024-07-19 15:15:00,125.0,83.255,136.99,0.893,0
H02,River_Gate,2024-06-29 10:30:00,125.0,97.162,149.967,0.918,0
H03,Canyon_Run,2024-02-22 20:00:00,95.0,95.0,153.854,0.89,0
H03,Canyon_Run,2024-09-27 03:45:00,95.0,53.046,73.544,0.914,0
H01,Andean_Falls,2024-04-02 19:15:00,180.0,180.0,275.729,0.906,0
H03,Canyon_Run,2024-05-05 09:00:00,95.0,85.229,126.571,0.927,0
H03,Canyon_Run,2024-01-10 01:45:00,95.0,95.0,150.788,0.913,0
H02,River_Gate,2024-08-20 00:15:00,125.0,67.228,109.302,0.897,0
H01,Andean_Falls,2024-10-27 07:00:00,180.0,101.982,141.041,0.93,0
H01,Andean_Falls,2024-09-03 18:30:00,180.0,88.803,136.411,0.86,0
H01,Andean_Falls,2024-03-12 22:00:00,180.0,180.0,271.316,0.891,0
H02,River_Gate,2024-10-04 00:30:00,125.0,61.699,104.383,0.91,0
H01,Andean_Falls,2024-12-22 07:15:00,180.0,148.214,203.83,0.932,0
H03,Canyon_Run,2024-10-18 22:45:00,95.0,56.72,86.959,0.892,0
H01,Andean_Falls,2024-11-20 23:30:00,180.0,102.465,151.988,0.873,0
H02,River_Gate,2024-10-20 21:15:00,125.0,70.144,122.558,0.868,0
H03,Canyon_Run,2024-07-11 21:30:00,95.0,60.929,84.21,0.908,0
H03,Canyon_Run,2024-08-24 19:30:00,95.0,50.687,76.265,0.88,0
H01,Andean_Falls,2024-10-26 14:45:00,180.0,99.01,146.553,0.878,0
H03,Canyon_Run,2024-06-10 16:45:00,95.0,79.341,121.323,0.859,0
H02,River_Gate,2024-03-15 07:30:00,125.0,125.0,210.126,0.928,0
H02,River_Gate,2024-07-09 14:45:00,125.0,87.066,140.453,0.87,0
H02,River_Gate,2024-10-13 04:45:00,125.0,83.323,127.316,0.931,0
H02,River_Gate,2024-03-31 11:15:00,125.0,125.0,206.292,0.932,0
H02,River_Gate,2024-03-29 10:00:00,125.0,125.0,225.512,0.925,0
H01,Andean_Falls,2024-04-19 02:45:00,180.0,180.0,264.432,0.888,0
H03,Canyon_Run,2024-04-12 04:30:00,95.0,95.0,146.977,0.895,0
H03,Canyon_Run,2024-05-08 03:30:00,95.0,85.331,125.748,0.914,0
H03,Canyon_Run,2024-04-25 14:30:00,95.0,90.54,136.084,0.895,0
H02,River_Gate,2024-05-29 20:15:00,125.0,109.046,185.333,0.895,0
H02,River_Gate,2024-03-31 07:30:00,125.0,125.0,226.306,0.925,0
H01,Andean_Falls,2024-02-29 01:45:00,180.0,180.0,278.041,0.895,0
H01,Andean_Falls,2024-02-26 18:00:00,180.0,170.278,259.848,0.838,0
H01,Andean_Falls,2024-08-22 16:45:00,180.0,110.036,158.188,0.87,0
H02,River_Gate,2024-10-15 12:45:00,125.0,74.074,118.844,0.898,0
H01,Andean_Falls,2024-01-10 21:15:00,180.0,147.569,219.639,0.859,0
H02,River_Gate,2024-04-27 19:45:00,125.0,125.0,206.838,0.87,0
H01,Andean_Falls,2024-02-11 10:30:00,180.0,180.0,255.646,0.92,0
H03,Canyon_Run,2024-10-17 08:15:00,95.0,62.314,86.246,0.955,0
H02,River_Gate,2024-10-25 07:30:00,125.0,82.002,127.217,0.935,0
H03,Canyon_Run,2024-05-04 16:15:00,95.0,95.0,141.456,0.877,0
H01,Andean_Falls,2024-01-11 05:00:00,180.0,163.128,228.885,0.924,0
H03,Canyon_Run,2024-11-07 16:30:00,95.0,59.724,94.916,0.855,0
H03,Canyon_Run,2024-04-25 03:45:00,95.0,95.0,144.219,0.939,0
H01,Andean_Falls,2024-11-08 18:15:00,180.0,98.51,143.897,0.891,0
H01,Andean_Falls,2024-05-03 06:00:00,180.0,180.0,282.385,0.912,0
H01,Andean_Falls,2024-11-06 02:45:00,180.0,110.528,152.242,0.911,0
H03,Canyon_Run,2024-12-11 12:00:00,95.0,83.453,120.069,0.905,0
H03,Canyon_Run,2024-06-30 22:15:00,95.0,57.052,92.263,0.859,0
H02,River_Gate,2024-03-21 20:45:00,125.0,125.0,233.729,0.894,0
H01,Andean_Falls,2024-07-23 10:00:00,180.0,129.703,186.361,0.888,0
H03,Canyon_Run,2024-07-05 14:45:00,95.0,63.133,94.545,0.87,0
H02,River_Gate,2024-01-21 12:00:00,125.0,122.819,199.976,0.898,0
H03,Canyon_Run,2024-05-26 18:30:00,95.0,80.363,122.363,0.851,0
H03,Canyon_Run,2024-09-28 08:30:00,95.0,50.199,69.439,0.946,0
H03,Canyon_Run,2024-12-23 16:45:00,95.0,81.596,128.121,0.858,0
H03,Canyon_Run,2024-03-13 20:45:00,95.0,95.0,141.668,0.887,0
H01,Andean_Falls,2024-08-08 20:15:00,180.0,111.937,159.336,0.897,0
H03,Canyon_Run,2024-11-25 12:45:00,95.0,66.089,100.898,0.897,0
H01,Andean_Falls,2024-03-15 19:00:00,180.0,180.0,277.578,0.882,0
H03,Canyon_Run,2024-06-09 08:15:00,95.0,70.578,101.666,0.915,0
H01,Andean_Falls,2024-07-30 11:30:00,180.0,116.319,161.714,0.913,0
H01,Andean_Falls,2024-11-10 21:00:00,180.0,107.816,152.05,0.885,0
H02,River_Gate,2024-03-21 04:15:00,125.0,125.0,209.816,0.913,0
H02,River_Gate,2024-06-27 09:15:00,125.0,92.644,149.834,0.901,0
H01,Andean_Falls,2024-06-28 21:00:00,180.0,148.368,211.8,0.908,0
H03,Canyon_Run,2024-05-21 17:15:00,95.0,74.18,115.549,0.881,0
H02,River_Gate,2024-08-20 11:00:00,125.0,62.992,105.654,0.906,0
H01,Andean_Falls,2024-05-27 06:15:00,180.0,176.637,244.886,0.918,0
H03,Canyon_Run,2024-10-29 20:00:00,95.0,61.383,93.327,0.874,0
H01,Andean_Falls,2024-11-29 18:30:00,180.0,120.181,171.381,0.891,0
H02,River_Gate,2024-04-07 01:00:00,125.0,125.0,214.132,0.897,0
H02,River_Gate,2024-07-25 01:45:00,125.0,74.497,123.711,0.879,0
H02,River_Gate,2024-04-21 06:00:00,125.0,125.0,215.681,0.919,0
H03,Canyon_Run,2024-09-23 03:15:00,95.0,54.787,78.181,0.892,0
H03,Canyon_Run,2024-11-09 06:00:00,95.0,69.606,101.78,0.915,0
H02,River_Gate,2024-06-16 12:00:00,125.0,90.279,157.403,0.884,0
H02,River_Gate,2024-04-25 04:30:00,125.0,125.0,218.229,0.922,0
H03,Canyon_Run,2024-02-14 20:15:00,95.0,91.549,144.594,0.854,0
H02,River_Gate,2024-10-12 22:15:00,125.0,61.225,104.262,0.869,0
H03,Canyon_Run,2024-02-28 10:15:00,95.0,95.0,147.289,0.908,0
H01,Andean_Falls,2024-12-25 03:30:00,180.0,146.505,204.279,0.931,0
H03,Canyon_Run,2024-01-05 20:15:00,95.0,90.112,133.299,0.913,0
H01,Andean_Falls,2024-12-18 22:30:00,180.0,128.344,186.971,0.886,0
H03,Canyon_Run,2024-03-22 04:00:00,95.0,95.0,148.757,0.925,0
H01,Andean_Falls,2024-06-16 20:15:00,180.0,154.842,227.204,0.858,0
H03,Canyon_Run,2024-01-24 09:45:00,95.0,93.971,137.006,0.916,0
H03,Canyon_Run,2024-10-25 21:15:00,95.0,70.069,107.68,0.887,0
H02,River_Gate,2024-05-23 18:00:00,125.0,111.042,187.589,0.878,0
H01,Andean_Falls,2024-02-27 19:00:00,180.0,180.0,268.355,0.877,0
H01,Andean_Falls,2024-02-01 10:00:00,180.0,166.999,235.774,0.916,0
H02,River_Gate,2024-08-19 06:00:00,125.0,66.564,110.565,0.897,0
H02,River_Gate,2024-11-28 00:30:00,125.0,85.839,142.085,0.899,0
H03,Canyon_Run,2024-12-02 20:15:00,95.0,77.222,118.214,0.889,0
H03,Canyon_Run,2024-12-12 01:00:00,95.0,92.296,130.372,0.903,0
H03,Canyon_Run,2024-03-22 01:30:00,95.0,95.0,143.831,0.922,0
H03,Canyon_Run,2024-04-23 12:00:00,95.0,89.237,135.268,0.879,0
H02,River_Gate,2024-04-09 10:30:00,125.0,125.0,211.393,0.926,0
H03,Canyon_Run,2024-01-19 14:45:00,95.0,95.0,145.623,0.876,0
H02,River_Gate,2024-08-21 08:00:00,125.0,76.008,121.899,0.941,0
H02,River_Gate,2024-04-05 16:45:00,125.0,125.0,221.019,0.889,0
H03,Canyon_Run,2024-05-17 01:30:00,95.0,87.457,130.016,0.89,0
H01,Andean_Falls,2024-10-09 00:00:00,180.0,84.241,127.33,0.871,0
H02,River_Gate,2024-11-30 03:00:00,125.0,98.278,156.804,0.901,0
H01,Andean_Falls,2024-10-27 15:15:00,180.0,102.517,149.727,0.887,0
H02,River_Gate,2024-02-21 16:45:00,125.0,122.427,209.908,0.861,0
H02,River_Gate,2024-10-10 07:15:00,125.0,70.25,112.013,0.927,0
H02,River_Gate,2024-10-08 16:30:00,125.0,73.231,124.694,0.879,0
H01,Andean_Falls,2024-03-05 07:45:00,180.0,180.0,266.611,0.912,0
H01,Andean_Falls,2024-08-30 01:45:00,180.0,115.883,157.815,0.93,0
H02,River_Gate,2024-09-18 11:45:00,125.0,57.912,98.321,0.923,0
H01,Andean_Falls,2024-08-08 10:45:00,180.0,112.072,158.316,0.919,0
H01,Andean_Falls,2024-07-19 08:30:00,180.0,133.886,186.443,0.912,0
H02,River_Gate,2024-05-08 06:45:00,125.0,121.027,190.355,0.924,0
H03,Canyon_Run,2024-05-09 03:30:00,95.0,88.935,129.939,0.906,0
H02,River_Gate,2024-04-22 00:15:00,125.0,125.0,230.592,0.88,0
H02,River_Gate,2024-02-24 11:45:00,125.0,125.0,226.608,0.922,0
H03,Canyon_Run,2024-02-13 08:30:00,95.0,95.0,152.967,0.916,0
H02,River_Gate,2024-03-27 21:00:00,125.0,125.0,220.052,0.888,0
H03,Canyon_Run,2024-02-11 11:30:00,95.0,93.22,147.314,0.873,0
H01,Andean_Falls,2024-07-25 01:45:00,180.0,120.991,171.484,0.901,0
H03,Canyon_Run,2024-11-01 00:00:00,95.0,60.637,88.256,0.929,0
H03,Canyon_Run,2024-03-25 05:15:00,95.0,95.0,146.604,0.931,0
H03,Canyon_Run,2024-10-27 12:45:00,95.0,62.119,90.943,0.891,0
H03,Canyon_Run,2024-05-18 17:15:00,95.0,85.142,124.284,0.868,0
H01,Andean_Falls,2024-03-27 07:30:00,180.0,180.0,285.746,0.943,0
H03,Canyon_Run,2024-10-21 06:00:00,95.0,60.426,90.269,0.931,0
H03,Canyon_Run,2024-10-03 22:15:00,95.0,52.815,78.967,0.853,0
H03,Canyon_Run,2024-10-11 20:00:00,95.0,43.813,71.734,0.863,0
H03,Canyon_Run,2024-11-26 07:45:00,95.0,78.585,112.299,0.936,0
H01,Andean_Falls,2024-09-04 11:15:00,180.0,98.166,144.795,0.89,0
H02,River_Gate,2024-09-05 04:00:00,125.0,63.671,103.658,0.933,0
H01,Andean_Falls,2024-02-11 02:30:00,180.0,180.0,263.649,0.939,0
H02,River_Gate,2024-11-05 08:30:00,125.0,86.177,134.215,0.929,0
H01,Andean_Falls,2024-02-26 13:00:00,180.0,180.0,271.655,0.903,0
H03,Canyon_Run,2024-01-26 14:30:00,95.0,95.0,144.886,0.873,0
H03,Canyon_Run,2024-07-31 13:00:00,95.0,57.287,83.257,0.902,0
H02,River_Gate,2024-11-25 18:00:00,125.0,88.936,151.449,0.887,0
H03,Canyon_Run,2024-08-06 20:30:00,95.0,56.146,80.411,0.904,0
H02,River_Gate,2024-02-16 17:30:00,125.0,125.0,223.25,0.888,0
H01,Andean_Falls,2024-07-13 15:30:00,180.0,126.629,186.188,0.878,0
H01,Andean_Falls,2024-10-03 13:45:00,180.0,93.957,132.379,0.905,0
H02,River_Gate,2024-04-16 23:00:00,125.0,125.0,210.682,0.91,0
H02,River_Gate,2024-04-30 12:30:00,125.0,125.0,210.18,0.909,0
H03,Canyon_Run,2024-05-10 00:30:00,95.0,89.892,128.096,0.908,0
H03,Canyon_Run,2024-03-21 06:15:00,95.0,95.0,154.655,0.928,0
H03,Canyon_Run,2024-09-13 14:15:00,95.0,49.889,72.447,1.27496653387273,0
H03,Canyon_Run,2024-02-16 03:00:00,95.0,95.0,145.174,0.93,0
H02,River_Gate,2024-01-29 23:45:00,125.0,125.0,208.986,0.896,0
H01,Andean_Falls,2024-10-20 11:45:00,180.0,100.228,146.405,0.879,0
H01,Andean_Falls,2024-03-21 19:00:00,180.0,180.0,283.338,0.86,0
H02,River_Gate,2024-11-24 10:30:00,125.0,89.552,145.211,0.905,0
H02,River_Gate,2024-02-08 21:00:00,125.0,125.0,220.769,0.879,0
H01,Andean_Falls,2024-09-28 15:45:00,180.0,99.615,142.776,0.878,0
H01,Andean_Falls,2024-08-30 19:30:00,180.0,98.858,144.51,0.885,0
H03,Canyon_Run,2024-08-12 17:00:00,95.0,46.89,71.534,0.886,0
H01,Andean_Falls,2024-12-08 23:45:00,180.0,127.115,182.062,0.889,0
H03,Canyon_Run,2024-04-16 03:30:00,95.0,95.0,140.049,0.91,0
H02,River_Gate,2024-02-14 03:45:00,125.0,125.0,224.3,0.928,0
H03,Canyon_Run,2024-09-07 12:30:00,95.0,47.66,77.538,0.906,0
H01,Andean_Falls,2024-08-08 05:30:00,180.0,116.827,159.206,0.931,0
H03,Canyon_Run,2024-09-11 21:00:00,95.0,47.231,69.875,0.872,0
H01,Andean_Falls,2024-05-23 20:30:00,180.0,180.0,260.57,0.875,0
H02,River_Gate,2024-05-18 16:15:00,125.0,107.554,185.419,0.861,0
H03,Canyon_Run,2024-04-10 06:00:00,95.0,87.486,129.297,0.921,0
H01,Andean_Falls,2024-11-13 17:00:00,180.0,100.359,148.267,0.855,0
H01,Andean_Falls,2024-02-29 13:00:00,180.0,180.0,276.055,0.907,0
H02,River_Gate,2024-03-27 16:30:00,125.0,125.0,237.232,0.881,0
H02,River_Gate,2024-10-03 02:45:00,125.0,71.827,110.351,0.934,0
H02,River_Gate,2024-06-30 10:00:00,125.0,93.233,151.863,0.908,0
H01,Andean_Falls,2024-07-17 08:15:00,180.0,131.244,179.865,0.933,0
H02,River_Gate,2024-12-14 07:00:00,125.0,110.25,174.332,0.941,0
H03,Canyon_Run,2024-01-03 13:15:00,95.0,90.679,136.35,0.888,0
H02,River_Gate,2024-11-22 02:00:00,125.0,98.694,149.967,0.931,0
H01,Andean_Falls,2024-06-24 10:30:00,180.0,145.346,210.021,0.893,0
H01,Andean_Falls,2024-07-16 13:15:00,180.0,134.303,189.315,0.905,0
H02,River_Gate,2024-04-20 23:15:00,125.0,125.0,215.525,0.898,0
H01,Andean_Falls,2024-06-15 18:15:00,180.0,149.193,224.65,0.862,0
H02,River_Gate,2024-10-27 01:45:00,125.0,69.622,114.673,0.9,0
H01,Andean_Falls,2024-11-22 01:45:00,180.0,124.099,169.041,0.928,0
H01,Andean_Falls,2024-06-03 11:45:00,180.0,167.132,240.229,0.897,0
H02,River_Gate,2024-02-28 12:00:00,125.0,125.0,224.051,0.895,0
H01,Andean_Falls,2024-04-10 00:00:00,180.0,180.0,267.597,0.888,0
H03,Canyon_Run,2024-09-18 19:00:00,95.0,48.458,76.055,0.869,0
H03,Canyon_Run,2024-05-15 18:45:00,95.0,92.634,135.531,0.882,0
H01,Andean_Falls,2024-03-30 14:15:00,180.0,180.0,273.39,0.9,0
H03,Canyon_Run,2024-08-23 03:45:00,95.0,47.39,67.044,0.912,0
H03,Canyon_Run,2024-03-31 01:15:00,95.0,95.0,158.502,0.901,0
H01,Andean_Falls,2024-10-05 03:45:00,180.0,111.247,150.52,0.919,0
H01,Andean_Falls,2024-12-08 16:00:00,180.0,126.555,193.439,0.858,0
H02,River_Gate,2024-07-31 02:00:00,125.0,78.914,126.17,0.941,0
H01,Andean_Falls,2024-03-02 07:15:00,180.0,180.0,280.763,0.927,0
H01,Andean_Falls,2024-10-26 11:00:00,180.0,113.897,160.292,0.879,0
H03,Canyon_Run,2024-08-13 13:45:00,95.0,43.89,71.201,0.856,0
H03,Canyon_Run,2024-05-19 15:45:00,95.0,84.106,128.927,0.867,0
H03,Canyon_Run,2024-09-12 05:00:00,95.0,45.083,66.13,0.926,0
H02,River_Gate,2024-05-11 02:30:00,125.0,125.0,212.228,0.896,0
H02,River_Gate,2024-01-07 04:45:00,125.0,121.392,189.005,0.92,0
H03,Canyon_Run,2024-04-18 16:00:00,95.0,89.688,131.901,0.856,0
H02,River_Gate,2024-09-01 01:00:00,125.0,73.071,120.38,0.879,0
H01,Andean_Falls,2024-06-19 20:00:00,180.0,152.431,222.553,0.883,0
H02,River_Gate,2024-04-18 00:15:00,125.0,125.0,212.666,0.895,0
H02,River_Gate,2024-06-07 06:30:00,125.0,154.61381586328514,203.167,0.94,0
H03,Canyon_Run,2024-12-06 07:45:00,95.0,77.974,114.688,0.905,0
H03,Canyon_Run,2024-11-06 19:30:00,95.0,67.156,96.554,0.884,0
H03,Canyon_Run,2024-03-23 00:30:00,95.0,95.0,154.953,0.907,0
H01,Andean_Falls,2024-12-10 22:45:00,180.0,134.304,187.432,0.909,0
H01,Andean_Falls,2024-01-16 09:30:00,180.0,169.382,224.549,0.95,0
H02,River_Gate,2024-08-02 11:00:00,125.0,79.126,123.903,0.899,0
H01,Andean_Falls,2024-07-03 08:45:00,180.0,142.008,193.534,0.945,0
H02,River_Gate,2024-02-18 08:30:00,125.0,125.0,211.391,0.936,0
H01,Andean_Falls,2024-10-19 16:00:00,180.0,92.315,137.046,0.88,0
H02,River_Gate,2024-01-12 04:15:00,125.0,125.0,202.744,0.955,0
H03,Canyon_Run,2024-08-22 11:15:00,95.0,51.42,77.213,0.884,0
H02,River_Gate,2024-04-24 22:30:00,125.0,121.507,205.67,0.89,0
H03,Canyon_Run,2024-12-20 09:30:00,95.0,83.507,122.492,0.932,0
H02,River_Gate,2024-11-29 15:00:00,125.0,96.866,154.905,0.873,0
H03,Canyon_Run,2024-08-27 04:45:00,95.0,43.914,64.794,0.936,0
H02,River_Gate,2024-08-24 21:30:00,125.0,64.424,109.257,0.868,0
H01,Andean_Falls,2024-11-13 05:30:00,180.0,107.031,149.674,0.931,0
H01,Andean_Falls,2024-09-27 16:45:00,180.0,92.198,133.022,0.869,0
H01,Andean_Falls,2024-07-04 03:45:00,180.0,151.133,209.463,0.92,0
H01,Andean_Falls,2024-05-05 21:15:00,180.0,180.0,286.246,0.878,0
H03,Canyon_Run,2024-06-17 03:30:00,95.0,78.797,106.027,0.922,0
H01,Andean_Falls,2024-12-31 16:30:00,180.0,134.858,202.11,0.884,0
H01,Andean_Falls,2024-01-15 17:15:00,180.0,163.288,240.169,0.89,0
H03,Canyon_Run,2024-01-19 02:45:00,95.0,95.0,138.642,0.944,0
H02,River_Gate,2024-06-25 07:00:00,125.0,95.15,153.053,0.943,0
H03,Canyon_Run,2024-08-27 21:30:00,95.0,46.148,71.203,0.879,0
H02,River_Gate,2024-02-10 19:00:00,125.0,125.0,224.071,0.861,0
H03,Canyon_Run,2024-11-05 09:15:00,95.0,60.25,88.479,0.901,0
H02,River_Gate,2024-10-04 13:00:00,125.0,67.685,113.632,0.875,0
H01,Andean_Falls,2024-02-18 08:45:00,180.0,180.0,264.77,0.919,0
H03,Canyon_Run,2024-04-11 23:30:00,95.0,92.294,137.601,0.882,0
H01,Andean_Falls,2024-08-30 13:15:00,180.0,103.367,147.343,0.896,0
H01,Andean_Falls,2024-08-06 15:00:00,180.0,108.505,153.564,0.877,0
H01,Andean_Falls,2024-05-21 06:45:00,180.0,177.5,244.045,0.928,0
H02,River_Gate,2024-11-19 10:00:00,125.0,86.784,138.965,0.917,0
H01,Andean_Falls,2024-08-26 21:45:00,180.0,107.094,152.005,0.892,0
H02,River_Gate,2024-03-23 15:30:00,125.0,125.0,230.94,0.862,0
H03,Canyon_Run,2024-05-13 20:15:00,95.0,83.388,126.43,0.874,0
H01,Andean_Falls,2024-08-18 23:30:00,180.0,104.229,142.04,0.91,0
H02,River_Gate,2024-11-17 20:45:00,125.0,87.156,150.651,0.877,0
H03,Canyon_Run,2024-02-03 11:30:00,95.0,89.554,134.242,0.902,0
H01,Andean_Falls,2024-12-09 14:45:00,180.0,128.855,185.403,0.891,0
H01,Andean_Falls,2024-01-26 23:45:00,180.0,172.547,239.136,0.904,0
H03,Canyon_Run,2024-05-02 18:00:00,95.0,88.943,139.239,1.3374415932886197,0
H03,Canyon_Run,2024-12-18 14:15:00,95.0,86.293,121.974,0.878,0
H03,Canyon_Run,2024-02-22 19:45:00,95.0,95.0,154.93,0.854,0
H02,River_Gate,2024-04-26 11:15:00,125.0,125.0,216.325,0.923,0
H01,Andean_Falls,2024-08-02 21:15:00,180.0,111.576,165.133,0.848,0
H02,River_Gate,2024-11-23 10:30:00,125.0,85.2,139.406,0.915,0
H03,Canyon_Run,2024-06-28 02:15:00,95.0,70.867,98.059,0.929,0
H03,Canyon_Run,2024-11-19 18:45:00,95.0,62.049,98.466,0.852,0
H03,Canyon_Run,2024-06-20 10:30:00,95.0,78.603,110.758,0.932,0
H01,Andean_Falls,2024-04-16 20:45:00,180.0,180.0,277.774,0.87,0
H03,Canyon_Run,2024-03-05 04:45:00,95.0,95.0,142.247,0.935,0
H02,River_Gate,2024-04-08 18:00:00,125.0,123.878,215.337,0.866,0
H02,River_Gate,2024-01-20 15:30:00,125.0,116.638,204.795,0.86,0
H03,Canyon_Run,2024-05-09 22:30:00,95.0,91.333,139.168,0.889,0
H02,River_Gate,2024-01-09 09:45:00,125.0,119.088,189.236,0.916,0
H02,River_Gate,2024-01-28 15:15:00,125.0,125.0,212.439,0.901,0
H02,River_Gate,2024-01-25 09:00:00,125.0,125.0,203.68,0.91,0
H03,Canyon_Run,2024-11-08 05:00:00,95.0,67.154,98.31,0.904,0
H01,Andean_Falls,2024-10-11 20:30:00,180.0,88.552,127.491,0.894,0
