river_basin,plant_id,datetime,reservoir_level_m,inflow_m3s,rainfall_mm,temperature_c
Basin_C,H03,2024-03-01 10:00:00,3101.368,165.121,0.489,17.618
Basin_B,H02,2024-12-04 17:30:00,980.814,162.204,0.284,14.745
Basin_A,H01,2024-11-13 09:15:00,1250.097,164.459,0.05,14.398
Basin_C,H03,2024-11-08 09:45:00,3094.834,111.651,0.167,11.346
Basin_A,H01,2024-12-22 03:30:00,1249.764,200.284,1.141,17.521
Basin_C,H03,2024-05-23 00:30:00,3097.76,118.687,0.497,16.098
Basin_C,H03,2024-08-20 14:45:00,3095.001,79.268,0.167,10.204
Basin_A,H01,2024-12-17 05:00:00,1249.499,207.812,0.198,17.203
Basin_C,H03,2024-08-29 04:45:00,3094.72,85.645,0.0,9.764
Basin_A,H01,2024-04-30 12:00:00,1252.199,290.754,0.988,22.403
Basin_B,H02,2024-07-13 02:15:00,981.783,143.263,0.142,15.561
Basin_C,H03,2024-03-29 18:30:00,3101.622,162.351,0.315,18.542
Basin_A,H01,2024-03-29 17:15:00,1253.202,304.66,0.482,22.612
Basin_B,H02,2024-03-05 04:00:00,981.294,232.873,0.554,20.712
Basin_B,H02,2024-10-17 22:15:00,979.287,123.715,0.0,11.795
Basin_B,H02,2024-09-01 00:30:00,981.092,106.916,0.228,12.676
Basin_B,H02,2024-11-23 03:15:00,980.918,156.453,0.129,13.488
Basin_B,H02,2024-05-05 03:15:00,980.882,207.706,0.251,19.612
Basin_C,H03,2024-06-03 05:45:00,3096.713,115.479,0.887,15.824
Basin_B,H02,2024-03-03 07:30:00,981.221,238.069,0.528,17.746
Basin_B,H02,2024-07-19 15:15:00,981.643,145.14,0.252,15.773
Basin_B,H02,2024-06-29 10:30:00,979.695,157.236,0.637,16.156
Basin_C,H03,2024-02-22 20:00:00,3100.931,155.076,0.542,17.618
Basin_C,H03,2024-09-27 03:45:00,3095.317,70.527,0.314,9.91
Basin_A,H01,2024-04-02 19:15:00,1253.162,301.081,0.51,22.214
Basin_C,H03,2024-05-05 09:00:00,3099.577,134.464,0.192,17.212
Basin_C,H03,2024-01-10 01:45:00,3101.004,154.769,0.69,14.596
Basin_B,H02,2024-08-20 00:15:00,981.484,113.172,0.097,12.208
Basin_A,H01,2024-10-27 07:00:00,1249.482,146.708,0.468,14.089
Basin_A,H01,2024-09-03 18:30:00,1249.668,144.622,0.646,14.518
Basin_A,H01,2024-03-12 22:00:00,1252.163,290.522,0.495,21.85
Basin_B,H02,2024-10-04 00:30:00,978.567,109.827,0.223,12.729
Basin_A,H01,2024-12-22 07:15:00,1249.984,213.642,0.564,18.139
Basin_C,H03,2024-10-18 22:45:00,3095.474,86.295,0.091,9.819
Basin_A,H01,2024-11-20 23:30:00,1249.32,172.297,0.511,15.58
Basin_B,H02,2024-10-20 21:15:00,979.281,125.821,0.0,12.017
Basin_C,H03,2024-07-11 21:30:00,3096.839,87.038,0.0,13.475
Basin_C,H03,2024-08-24 19:30:00,3094.798,80.916,0.129,11.26
Basin_A,H01,2024-10-26 14:45:00,1249.677,147.513,0.0,13.957
Basin_C,H03,2024-06-10 16:45:00,3097.648,128.861,0.073,15.615
Basin_B,H02,2024-03-15 07:30:00,981.813,231.044,0.578,20.026
Basin_B,H02,2024-07-09 14:45:00,981.197,152.748,0.468,15.511
Basin_B,H02,2024-10-13 04:45:00,979.013,122.881,0.262,12.184
Basin_B,H02,2024-03-31 11:15:00,981.973,222.233,0.804,20.581
Basin_B,H02,2024-03-29 10:00:00,982.395,229.896,0.653,19.539
Basin_A,H01,2024-04-19 02:45:00,1252.493,286.107,0.62,21.408
Basin_C,H03,2024-04-12 04:30:00,3100.691,160.471,0.522,17.982
Basin_C,H03,2024-05-08 03:30:00,3100.012,135.022,0.125,17.139
Basin_C,H03,2024-04-25 14:30:00,3100.489,142.266,0.502,17.185
Basin_B,H02,2024-05-29 20:15:00,979.121,189.9,0.225,18.654
Basin_B,H02,2024-03-31 07:30:00,982.41,240.881,0.769,21.076
Basin_A,H01,2024-02-29 01:45:00,1251.859,286.289,0.57,21.622
Basin_A,H01,2024-02-26 18:00:00,1251.529,285.805,0.417,21.321
Basin_A,H01,2024-08-22 16:45:00,1250.337,168.269,0.254,14.284
Basin_B,H02,2024-10-15 12:45:00,979.404,124.631,0.258,11.592
Basin_A,H01,2024-01-10 21:15:00,1250.227,234.614,0.529,18.859
Basin_B,H02,2024-04-27 19:45:00,981.633,227.538,0.334,19.235
Basin_A,H01,2024-02-11 10:30:00,1250.233,274.24,0.335,20.831
Basin_C,H03,2024-10-17 08:15:00,3095.556,87.631,0.168,10.183
Basin_B,H02,2024-10-25 07:30:00,979.265,131.885,0.343,11.764
Basin_C,H03,2024-05-04 16:15:00,3100.02,151.135,0.184,17.309
Basin_A,H01,2024-01-11 05:00:00,1250.59,239.169,0.792,18.205
Basin_C,H03,2024-11-07 16:30:00,3094.643,99.179,0.355,11.332
Basin_C,H03,2024-04-25 03:45:00,3100.707,149.64,0.651,17.598
Basin_A,H01,2024-11-08 18:15:00,1249.841,160.607,0.0,15.099
Basin_A,H01,2024-05-03 06:00:00,1251.985,287.922,0.641,22.169
Basin_A,H01,2024-11-06 02:45:00,1250.148,162.79,0.379,15.156
Basin_C,H03,2024-12-11 12:00:00,3094.739,125.566,0.668,13.111
Basin_C,H03,2024-06-30 22:15:00,3097.708,107.764,0.0,13.4
Basin_B,H02,2024-03-21 20:45:00,982.148,241.505,0.447,18.503
Basin_A,H01,2024-07-23 10:00:00,1249.566,193.111,0.366,17.12
Basin_C,H03,2024-07-05 14:45:00,3097.22,100.414,0.0,13.665
Basin_B,H02,2024-01-21 12:00:00,980.777,211.494,0.377,18.066
Basin_C,H03,2024-05-26 18:30:00,3097.564,132.21,0.072,16.04
Basin_C,H03,2024-09-28 08:30:00,3095.378,82.88,0.175,9.087
Basin_C,H03,2024-12-23 16:45:00,3094.721,133.131,0.634,13.324
Basin_C,H03,2024-03-13 20:45:00,3101.211,152.964,0.744,18.815
Basin_A,H01,2024-08-08 20:15:00,1249.887,166.762,0.252,15.532
Basin_C,H03,2024-11-25 12:45:00,3095.059,105.881,0.774,10.824
Basin_A,H01,2024-03-15 19:00:00,1252.666,295.818,0.399,21.832
Basin_C,H03,2024-06-09 08:15:00,3097.379,110.603,0.495,16.157
Basin_A,H01,2024-07-30 11:30:00,1249.995,176.242,0.02,15.949
Basin_A,H01,2024-11-10 21:00:00,1250.049,161.093,0.129,15.197
Basin_B,H02,2024-03-21 04:15:00,982.387,231.647,0.444,19.651
Basin_B,H02,2024-06-27 09:15:00,979.463,151.399,0.066,17.038
Basin_A,H01,2024-06-28 21:00:00,1249.155,228.727,1.155,17.827
Basin_C,H03,2024-05-21 17:15:00,3098.397,126.11,0.065,16.817
Basin_B,H02,2024-08-20 11:00:00,981.27,111.577,0.0,13.366
Basin_A,H01,2024-05-27 06:15:00,1250.852,258.34,0.439,20.298
Basin_C,H03,2024-10-29 20:00:00,3095.792,99.143,0.141,11.938
Basin_A,H01,2024-11-29 18:30:00,1249.105,179.866,0.078,15.993
Basin_B,H02,2024-04-07 01:00:00,982.317,225.775,1.949,19.448
Basin_B,H02,2024-07-25 01:45:00,981.282,127.535,0.0,14.844
Basin_B,H02,2024-04-21 06:00:00,981.35,221.834,0.434,19.571
Basin_C,H03,2024-09-23 03:15:00,3096.171,76.343,0.0,10.341
Basin_C,H03,2024-11-09 06:00:00,3094.75,102.716,0.575,10.962
Basin_B,H02,2024-06-16 12:00:00,979.669,174.451,0.273,16.997
Basin_B,H02,2024-04-25 04:30:00,982.0,227.865,0.301,20.551
Basin_C,H03,2024-02-14 20:15:00,3100.577,154.656,0.832,16.669
Basin_B,H02,2024-10-12 22:15:00,978.829,111.346,0.266,13.741
Basin_C,H03,2024-02-28 10:15:00,3101.196,171.036,0.383,17.313
Basin_A,H01,2024-12-25 03:30:00,1250.09,217.193,0.187,17.345
Basin_C,H03,2024-01-05 20:15:00,3100.578,139.854,1.543,13.889
Basin_A,H01,2024-12-18 22:30:00,1249.115,198.794,0.46,17.77
Basin_C,H03,2024-03-22 04:00:00,3101.6,152.186,0.382,17.308
Basin_A,H01,2024-06-16 20:15:00,1249.181,238.952,0.377,20.016
Basin_C,H03,2024-01-24 09:45:00,3100.804,147.706,0.4,15.643
Basin_C,H03,2024-10-25 21:15:00,3096.053,104.918,0.434,10.371
Basin_B,H02,2024-05-23 18:00:00,980.082,204.604,0.35,18.155
Basin_A,H01,2024-02-27 19:00:00,1251.715,281.662,0.452,21.078
Basin_A,H01,2024-02-01 10:00:00,1249.926,251.088,0.392,19.91
Basin_B,H02,2024-08-19 06:00:00,981.723,118.535,0.0,13.303
Basin_B,H02,2024-11-28 00:30:00,980.795,154.178,0.802,14.25
Basin_C,H03,2024-12-02 20:15:00,3095.919,124.287,0.416,11.43
Basin_C,H03,2024-12-12 01:00:00,3094.71,130.863,0.48,13.375
Basin_C,H03,2024-03-22 01:30:00,3101.55,151.53,1.039,17.893
Basin_C,H03,2024-04-23 12:00:00,3101.214,146.592,0.335,18.12
Basin_B,H02,2024-04-09 10:30:00,982.839,233.212,0.414,20.424
Basin_C,H03,2024-01-19 14:45:00,3101.325,155.438,0.487,15.388
Basin_B,H02,2024-08-21 08:00:00,981.182,124.114,0.0,13.371
Basin_B,H02,2024-04-05 16:45:00,982.343,233.157,0.371,19.615
Basin_C,H03,2024-05-17 01:30:00,3098.649,135.682,0.427,15.674
Basin_A,H01,2024-10-09 00:00:00,1249.965,143.528,0.333,13.643
Basin_B,H02,2024-11-30 03:00:00,981.054,164.407,0.131,14.655
Basin_A,H01,2024-10-27 15:15:00,1249.736,154.419,0.0,13.989
Basin_B,H02,2024-02-21 16:45:00,981.318,226.633,0.403,18.275
Basin_B,H02,2024-10-10 07:15:00,978.728,117.358,0.483,12.545
Basin_B,H02,2024-10-08 16:30:00,979.093,124.882,0.068,11.905
Basin_A,H01,2024-03-05 07:45:00,1252.253,287.589,0.503,21.454
Basin_A,H01,2024-08-30 01:45:00,1250.212,163.822,0.156,13.653
Basin_B,H02,2024-09-18 11:45:00,979.974,109.339,0.0,12.645
Basin_A,H01,2024-08-08 10:45:00,1249.832,167.881,0.0,15.039
Basin_A,H01,2024-07-19 08:30:00,1249.288,197.502,0.435,16.622
Basin_B,H02,2024-05-08 06:45:00,980.668,206.667,0.242,19.516
Basin_C,H03,2024-05-09 03:30:00,3099.705,135.251,0.102,15.5
Basin_B,H02,2024-04-22 00:15:00,981.717,236.818,0.325,18.822
Basin_B,H02,2024-02-24 11:45:00,981.295,226.702,0.661,19.013
Basin_C,H03,2024-02-13 08:30:00,3100.675,156.61,0.66,17.543
Basin_B,H02,2024-03-27 21:00:00,982.157,231.624,0.639,19.503
Basin_C,H03,2024-02-11 11:30:00,3100.903,156.925,0.439,16.163
Basin_A,H01,2024-07-25 01:45:00,1249.653,184.551,0.237,14.478
Basin_C,H03,2024-11-01 00:00:00,3096.305,98.251,0.623,10.327
Basin_C,H03,2024-03-25 05:15:00,3101.405,158.811,0.921,17.609
Basin_C,H03,2024-10-27 12:45:00,3095.876,95.422,0.112,9.404
Basin_C,H03,2024-05-18 17:15:00,3098.9,130.771,0.402,16.829
Basin_A,H01,2024-03-27 07:30:00,1253.076,297.68,0.67,22.045
Basin_C,H03,2024-10-21 06:00:00,3095.657,91.345,0.159,10.094
Basin_C,H03,2024-10-03 22:15:00,3095.884,86.437,1.228,10.336
Basin_C,H03,2024-10-11 20:00:00,3095.446,84.335,0.151,10.184
Basin_C,H03,2024-11-26 07:45:00,3095.326,120.515,0.468,12.764
Basin_A,H01,2024-09-04 11:15:00,1249.896,155.467,0.0,14.294
Basin_B,H02,2024-09-05 04:00:00,980.913,109.882,0.173,11.398
Basin_A,H01,2024-02-11 02:30:00,1250.313,274.057,0.343,21.679
Basin_B,H02,2024-11-05 08:30:00,980.433,139.45,0.451,13.024
Basin_A,H01,2024-02-26 13:00:00,1251.386,279.258,0.549,21.497
Basin_C,H03,2024-01-26 14:30:00,3100.545,153.695,0.421,16.057
Basin_C,H03,2024-07-31 13:00:00,3095.659,83.622,0.598,12.298
Basin_B,H02,2024-11-25 18:00:00,981.013,158.89,0.095,12.689
Basin_C,H03,2024-08-06 20:30:00,3095.43,83.987,0.0,11.096
Basin_B,H02,2024-02-16 17:30:00,981.282,227.308,0.982,19.394
Basin_A,H01,2024-07-13 15:30:00,1248.831,203.118,0.272,15.798
Basin_A,H01,2024-10-03 13:45:00,1250.009,144.994,0.518,13.19
Basin_B,H02,2024-04-16 23:00:00,981.952,231.658,0.978,20.274
Basin_B,H02,2024-04-30 12:30:00,981.311,211.334,0.684,19.919
Basin_C,H03,2024-05-10 00:30:00,3099.525,135.782,0.358,16.748
Basin_C,H03,2024-03-21 06:15:00,3101.818,160.881,0.713,18.465
Basin_C,H03,2024-09-13 14:15:00,3094.895,74.783,0.739,10.354
Basin_C,H03,2024-02-16 03:00:00,3100.693,159.614,0.891,16.463
Basin_B,H02,2024-01-29 23:45:00,981.259,219.207,0.364,18.433
Basin_A,H01,2024-10-20 11:45:00,1249.79,152.361,0.059,13.372
Basin_A,H01,2024-03-21 19:00:00,1252.12,290.016,0.472,21.574
Basin_B,H02,2024-11-24 10:30:00,980.995,151.05,0.155,13.678
Basin_B,H02,2024-02-08 21:00:00,981.313,232.536,1.093,17.521
Basin_A,H01,2024-09-28 15:45:00,1250.336,147.169,0.272,13.063
Basin_A,H01,2024-08-30 19:30:00,1250.167,152.304,0.041,14.245
Basin_C,H03,2024-08-12 17:00:00,3094.998,78.961,0.409,12.068
Basin_A,H01,2024-12-08 23:45:00,1248.357,183.568,0.289,16.27
Basin_C,H03,2024-04-16 03:30:00,3100.965,150.673,0.55,18.67
Basin_B,H02,2024-02-14 03:45:00,981.079,232.582,0.587,19.415
Basin_C,H03,2024-09-07 12:30:00,3095.059,76.266,0.0,9.774
Basin_A,H01,2024-08-08 05:30:00,1249.801,169.586,0.001,15.958
Basin_C,H03,2024-09-11 21:00:00,3094.727,77.017,0.12,10.042
Basin_A,H01,2024-05-23 20:30:00,1251.23,279.448,0.467,20.892
Basin_B,H02,2024-05-18 16:15:00,979.961,200.23,0.232,18.861
Basin_C,H03,2024-04-10 06:00:00,3100.394,141.722,0.663,18.785
Basin_A,H01,2024-11-13 17:00:00,1249.795,161.687,0.0,15.512
Basin_A,H01,2024-02-29 13:00:00,1252.08,288.716,0.36,22.195
Basin_B,H02,2024-03-27 16:30:00,982.376,242.617,0.683,19.959
Basin_B,H02,2024-10-03 02:45:00,,119.238,0.754,11.875
Basin_B,H02,2024-06-30 10:00:00,980.037,165.005,0.092,15.43
Basin_A,H01,2024-07-17 08:15:00,1248.844,190.796,0.975,16.488
Basin_B,H02,2024-12-14 07:00:00,981.231,174.494,0.533,14.25
Basin_C,H03,2024-01-03 13:15:00,3100.777,142.484,0.759,14.357
Basin_B,H02,2024-11-22 02:00:00,980.927,154.592,1.211,14.228
Basin_A,H01,2024-06-24 10:30:00,1249.239,220.217,0.179,18.43
Basin_A,H01,2024-07-16 13:15:00,1249.199,204.989,0.253,17.21
Basin_B,H02,2024-04-20 23:15:00,981.469,223.546,0.8,19.429
Basin_A,H01,2024-06-15 18:15:00,1249.417,241.548,0.526,18.519
Basin_B,H02,2024-10-27 01:45:00,979.358,117.535,0.382,11.566
Basin_A,H01,2024-11-22 01:45:00,1249.437,180.906,0.025,16.333
Basin_A,H01,2024-06-03 11:45:00,1250.489,251.618,0.448,19.656
Basin_B,H02,2024-02-28 12:00:00,981.6,237.646,0.439,19.326
Basin_A,H01,2024-04-10 00:00:00,1252.569,282.793,1.67,21.592
Basin_C,H03,2024-09-18 19:00:00,3095.967,81.979,0.034,10.895
Basin_C,H03,2024-05-15 18:45:00,3098.834,142.288,0.224,17.862
Basin_A,H01,2024-03-30 14:15:00,1252.797,292.402,0.648,22.813
Basin_C,H03,2024-08-23 03:45:00,3094.842,69.667,0.0,10.871
Basin_C,H03,2024-03-31 01:15:00,3101.865,166.998,0.335,18.222
Basin_A,H01,2024-10-05 03:45:00,1249.696,150.918,0.0,15.061
Basin_A,H01,2024-12-08 16:00:00,1248.672,198.803,0.06,16.59
Basin_B,H02,2024-07-31 02:00:00,981.306,135.064,0.0,12.645
Basin_A,H01,2024-03-02 07:15:00,1252.313,297.369,0.408,22.188
Basin_A,H01,2024-10-26 11:00:00,1250.03,162.327,0.344,14.743
Basin_C,H03,2024-08-13 13:45:00,3095.009,79.25,0.507,11.369
Basin_C,H03,2024-05-19 15:45:00,3098.77,135.294,0.165,15.718
Basin_C,H03,2024-09-12 05:00:00,3094.545,67.046,0.001,10.46
Basin_B,H02,2024-05-11 02:30:00,980.538,215.519,0.42,17.991
Basin_B,H02,2024-01-07 04:45:00,980.046,194.225,0.515,16.519
Basin_C,H03,2024-04-18 16:00:00,3100.961,140.327,0.259,18.521
Basin_B,H02,2024-09-01 01:00:00,981.478,124.604,0.273,11.795
Basin_A,H01,2024-06-19 20:00:00,1249.376,234.659,1.124,19.022
Basin_B,H02,2024-04-18 00:15:00,981.892,226.241,0.32,20.67
Basin_B,H02,2024-06-07 06:30:00,980.155,201.197,0.401,17.863
Basin_C,H03,2024-12-06 07:45:00,3095.366,120.558,0.716,11.78
Basin_C,H03,2024-11-06 19:30:00,3094.873,107.13,0.192,10.996
Basin_C,H03,2024-03-23 00:30:00,3101.439,163.313,0.624,18.3
Basin_A,H01,2024-12-10 22:45:00,1249.228,195.478,0.075,16.168
Basin_A,H01,2024-01-16 09:30:00,1249.592,235.56,0.452,19.84
Basin_B,H02,2024-08-02 11:00:00,981.265,132.196,0.0,13.798
Basin_A,H01,2024-07-03 08:45:00,1248.977,208.1,0.564,17.676
Basin_B,H02,2024-02-18 08:30:00,981.527,232.506,0.565,19.44
Basin_A,H01,2024-10-19 16:00:00,1249.761,147.115,0.04,14.725
Basin_B,H02,2024-01-12 04:15:00,980.19,210.302,0.364,16.876
Basin_C,H03,2024-08-22 11:15:00,3095.049,81.251,0.0,11.499
Basin_B,H02,2024-04-24 22:30:00,981.803,220.502,0.565,19.2
Basin_C,H03,2024-12-20 09:30:00,3094.244,128.211,0.984,13.525
Basin_B,H02,2024-11-29 15:00:00,981.056,160.262,0.362,13.563
Basin_C,H03,2024-08-27 04:45:00,3094.423,71.501,0.157,10.418
Basin_B,H02,2024-08-24 21:30:00,980.846,113.461,0.0,12.991
Basin_A,H01,2024-11-13 05:30:00,1250.04,168.071,0.215,14.73
Basin_A,H01,2024-09-27 16:45:00,1249.975,143.626,0.301,13.85
Basin_A,H01,2024-07-04 03:45:00,1249.114,221.218,0.351,18.541
Basin_A,H01,2024-05-05 21:15:00,1251.81,293.235,0.395,20.673
Basin_C,H03,2024-06-17 03:30:00,3097.449,111.929,0.002,15.296
Basin_A,H01,2024-12-31 16:30:00,1249.364,212.46,0.166,16.981
Basin_A,H01,2024-01-15 17:15:00,1249.856,252.6,0.309,18.119
Basin_C,H03,2024-01-19 02:45:00,3100.95,146.513,0.941,15.745
Basin_B,H02,2024-06-25 07:00:00,979.628,163.653,0.153,16.79
Basin_C,H03,2024-08-27 21:30:00,3094.375,74.259,0.005,9.736
Basin_B,H02,2024-02-10 19:00:00,980.956,229.299,0.882,18.656
Basin_C,H03,2024-11-05 09:15:00,3095.202,97.817,1.48,10.57
Basin_B,H02,2024-10-04 13:00:00,978.708,122.428,0.087,12.389
Basin_A,H01,2024-02-18 08:45:00,1251.205,285.733,0.338,20.369
Basin_C,H03,2024-04-11 23:30:00,3100.477,153.36,0.706,18.971
Basin_A,H01,2024-08-30 13:15:00,1250.192,156.704,0.971,14.647
Basin_A,H01,2024-08-06 15:00:00,1249.858,172.528,0.0,16.265
Basin_A,H01,2024-05-21 06:45:00,1250.836,267.596,0.596,21.075
Basin_B,H02,2024-11-19 10:00:00,980.363,147.439,1.02,13.346
Basin_A,H01,2024-08-26 21:45:00,1250.271,155.991,0.359,14.103
Basin_B,H02,2024-03-23 15:30:00,982.352,237.829,0.556,20.963
Basin_C,H03,2024-05-13 20:15:00,3098.625,128.405,0.07,17.179
Basin_A,H01,2024-08-18 23:30:00,1249.313,156.075,0.391,14.979
Basin_B,H02,2024-11-17 20:45:00,981.214,155.763,0.179,13.877
Basin_C,H03,2024-02-03 11:30:00,3100.549,147.023,0.42,15.863
Basin_A,H01,2024-12-09 14:45:00,1248.833,196.986,0.148,17.024
Basin_A,H01,2024-01-26 23:45:00,1250.594,258.118,0.322,19.266
Basin_C,H03,2024-05-02 18:00:00,3100.005,150.376,0.478,16.974
Basin_C,H03,2024-12-18 14:15:00,3094.103,129.529,0.954,11.816
Basin_C,H03,2024-02-22 19:45:00,3100.982,157.585,0.539,18.187
Basin_B,H02,2024-04-26 11:15:00,981.841,227.207,0.3,19.553
Basin_A,H01,2024-08-02 21:15:00,1250.488,174.107,0.302,16.037
Basin_B,H02,2024-11-23 10:30:00,980.746,147.57,0.44,12.622
Basin_C,H03,2024-06-28 02:15:00,3097.527,104.368,0.0,13.95
Basin_C,H03,2024-11-19 18:45:00,3095.302,108.319,0.313,11.526
Basin_C,H03,2024-06-20 10:30:00,3097.279,104.279,0.0,14.656
Basin_A,H01,2024-04-16 20:45:00,1252.742,294.093,0.401,22.361
Basin_C,H03,2024-03-05 04:45:00,3101.107,158.676,0.581,17.387
Basin_B,H02,2024-04-08 18:00:00,982.646,230.767,0.407,19.18
Basin_B,H02,2024-01-20 15:30:00,981.173,215.056,0.714,17.501
Basin_C,H03,2024-05-09 22:30:00,3099.465,137.073,0.119,16.556
Basin_B,H02,2024-01-09 09:45:00,979.954,201.516,0.365,15.434
Basin_B,H02,2024-01-28 15:15:00,981.246,223.029,0.358,18.06
Basin_B,H02,2024-01-25 09:00:00,981.035,217.403,0.497,18.11
Basin_C,H03,2024-11-08 05:00:00,3094.824,102.25,0.532,10.358
Basin_A,H01,2024-10-11 20:30:00,1249.753,142.372,0.134,14.824
Basin_C,H03,2024-09-19 12:45:00,3095.562,68.173,0.0,10.882
Basin_C,H03,2024-01-22 01:30:00,3100.917,159.723,0.682,14.776
Basin_C,H03,2024-05-18 13:00:00,3098.639,123.935,0.378,15.959
Basin_C,H03,2024-01-31 00:15:00,,151.322,0.5,17.318
Basin_A,H01,2024-08-12 11:30:00,1250.063,167.457,0.046,15.071
Basin_B,H02,2024-12-08 08:30:00,980.768,166.107,0.317,13.886
Basin_A,H01,2024-08-26 01:15:00,1250.332,158.337,0.0,13.994
Basin_A,H01,2024-10-14 08:15:00,1249.887,152.399,0.0,14.342
Basin_A,H01,2024-06-02 18:30:00,1250.324,243.805,0.49,19.929
Basin_A,H01,2024-09-23 01:00:00,1249.536,138.091,0.0,16.063
Basin_C,H03,2024-06-04 14:30:00,3097.048,102.706,0.189,14.609
Basin_B,H02,2024-11-20 17:15:00,980.512,147.414,0.186,12.383
Basin_C,H03,2024-01-09 09:45:00,3100.499,129.722,0.736,14.734
Basin_A,H01,2024-08-24 08:00:00,1250.265,150.409,0.0,15.86
Basin_A,H01,2024-09-22 17:00:00,1249.617,140.627,0.0,12.949
Basin_B,H02,2024-03-15 16:30:00,981.888,235.835,1.461,18.934
Basin_C,H03,2024-07-20 10:30:00,3096.379,93.434,0.117,12.834
Basin_C,H03,2024-11-04 23:45:00,3095.605,104.674,0.517,10.327
Basin_A,H01,2024-07-11 10:15:00,1248.812,201.858,0.428,16.435
Basin_A,H01,2024-01-13 19:30:00,1249.831,233.697,0.292,18.865
Basin_C,H03,2024-05-14 18:15:00,3098.605,130.35,0.465,16.744
Basin_A,H01,2024-11-20 23:00:00,1249.167,165.458,0.01,15.526
Basin_A,H01,2024-03-26 20:30:00,1252.944,295.614,0.536,21.702
Basin_B,H02,2024-11-28 07:15:00,980.869,155.355,0.156,13.279
